TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80442,BIOL,109Y.05,Intro to Experimental Biology,.25,2,,R,0810-1100,,-,,14,,"McMahon,J,,"
202680,80443,BIOL,109Y.06,Intro to Experimental Biology,.25,2,,R,1310-1600,,-,,14,,"Petersen,S,,"
202680,80444,BIOL,109Y.07,Intro to Experimental Biology,.25,2,,R,1310-1600,,-,,14,,"Tsunekage,T,,"
202680,80445,BIOL,115.01,Energy in Living Systems,.50,4,,MWF,0810-0900,,-,,30,,"Tsunekage,T,,"
202680,80446,BIOL,115.02,Energy in Living Systems,.50,4,,MWF,0910-1000,,-,,30,,"Regmi,K,,"
202680,80447,BIOL,115.03,Energy in Living Systems,.50,4,,MWF,1010-1100,,-,,30,,"Kropp,P,,"
202680,80448,BIOL,115.04,Energy in Living Systems,.50,4,,MWF,1110-1200,,-,,30,,"Gillen,C,,"
202680,80449,BIOL,116.00,Information in Living Systems,.50,4,,MWF,1110-1200,,-,,30,,"Hicks,K,,"
202680,80450,BIOL,211.00,Health Service & Biomed Analys,.50,4,,M,1310-1600,,-,,14,,"Kropp,P,,"
202680,80451,BIOL,228.00,Ecology,.50,4,,WF,0840-1000,,-,,24,,"Fahey,C,,"
202680,80452,BIOL,229.00,Ecology Laboratory,.25,2,,R,1310-1600,,-,,11,,"Fahey,C,,"
202680,80453,BIOL,245.00,Plant Biology,.50,4,,TR,0940-1100,,-,,24,,"Regmi,K,,"
202680,80454,BIOL,246.00,Experimental Plant Biology,.25,2,,W,1310-1600,,-,,12,,"Regmi,K,,"
202680,80455,BIOL,247.00,Comp Vertebrate Anatomy,.50,4,,MWF,1110-1200,,-,,21,,"Wright,N,Mendez,L"
202680,80456,BIOL,248.00,Comp Vertebrate Anatomy Lab,.25,2,,T,1310-1600,,-,,21,,"Wright,N,,"
202680,80457,BIOL,263.00,Molecular Biology,.50,4,,MWF,1010-1100,,-,,30,,"Hillman,E,,"
202680,80458,BIOL,264.00,Gene Manipulation,.25,2,,R,1310-1600,,-,,11,,"Hillman,E,,"
202680,80459,BIOL,315.00,Cell Signaling,.50,4,,TR,0810-0930,,-,,12,,"Gillen,K,,"
202680,80460,BIOL,321.00,Evol. Developmental Biology,.50,4,,WF,1410-1530,,-,,12,,"Hicks,K,,"
202680,80461,BIOL,385.00,Research in Biology,.25,2,,,-,,-,PI,40,,"Clements,R,,"
202680,80462,BIOL,475.01,Senior Seminar,.50,4,,TR,0810-0930,,-,PI,10,,"Gillen,C,,"
202680,80463,BIOL,475.02,Senior Seminar,.50,4,,TR,0940-1100,,-,PI,10,,"Clements,R,,"
