TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80042,HIST,490.02,Senior Seminar,.50,4,,M,1900-2200,,-,,8,,"Kilic-Schubel,N,,"
202680,80044,HIST,491.00,ST: Pending CPC Approval,.50,4,,R,1900-2200,,-,,12,,"Gourrier,F,,"
202680,80061,HIST,497Y.00,Senior Honors Seminar,.50,4,,,-,,-,GP,5,,"Coulibaly,S,,"
202680,80659,INDS,191.00,ST: Comm Healthcare Sem TtoP,.25,2,,M,1410-1530,,-,PI,20,,"Ferenbaugh,A,Teall,A"
202680,80048,INDS,209.00,Sci & Nature Fiction Writing,.50,4,,WF,1410-1530,,-,,15,,"Slonczewski,J,,"
202680,80047,INDS,231.00,The Holocaust,.50,4,,TR,1310-1430,,-,,15,,"Ablovatski,E,Riegert,L"
202680,80487,INST,201.00,Expansion of Intern'l Society,.50,4,,TR,0940-1100,,-,,20,,"Singer,W,,"
202680,80488,INST,401.01,Sr Sem International Studies,.50,4,,R,1900-2200,,-,,12,,"Rowe,D,,"
202680,80489,INST,401.02,Sr Sem International Studies,.50,4,,W,1900-2200,,-,,12,,"Villegas,C,,"
202680,80062,INST,497Y.00,Senior Honors,.50,4,,,-,,-,GP,5,,"McAllister,J,,"
202680,80650,IPHS,111Y.00,Odyssey:Wisdom & Understanding,.50,4,,MWF,1210-1300,,-,,30,,"Novikoff,A,Leibowitz,L"
202680,80651,IPHS,200.01,Programming Humanity,.50,4,,TR,0940-1100,,-,,15,,"Elkins,K,,"
202680,80652,IPHS,200.02,Programming Humanity,.50,4,,TR,1310-1430,,-,,15,,"Elkins,K,,"
202680,80653,IPHS,400.00,Frontiers in Generative AI,.50,4,,TR,1440-1600,,-,,12,,"Chun,J,,"
202680,80654,IPHS,484.00,Senior Research Seminar,.50,4,,,-,,-,,10,,"Elkins,K,,"
202680,80050,ITAL,111Y.00,Intensive Intro Italian,.75,6,,MWF,1410-1500,T,-,,20,,"Dubrovic,S,,"
202680,80051,ITAL,213Y.00,Language and Culture,.50,4,,MWF,1010-1100,,-,,18,,"Dubrovic,S,,"
202680,80052,ITAL,321.00,Advanced Italian,.50,4,,MWF,1110-1200,,-,,15,,"Dubrovic,S,,"
202680,80582,LATN,101Y.01,Elementary Latin,.50,4,,MWF,0910-1000,,-,,22,,"Barich,M,,"
202680,80583,LATN,101Y.02,Elementary Latin,.50,4,,MWF,1110-1200,,-,,22,,"Myers,M,,"
202680,80584,LATN,201.00,Intermediate Latin,.50,4,,MWF,1110-1200,,-,,12,,"Izzo,J,,"
202680,80585,LATN,301.00,Advanced Latin: Roman Women,.50,4,,TR,1440-1600,,-,,12,,"Serfass,A,,"
202680,80625,MATH,111.01,Calculus I,.50,4,,MWF,1010-1100,,-,,25,,"Milnikel,B,,"
202680,80626,MATH,111.02,Calculus I,.50,4,,MWF,1110-1200,,-,,25,,"Milnikel,B,,"
202680,80627,MATH,111.03,Calculus I,.50,4,,MWF,1210-1300,,-,,25,,"Milnikel,B,,"
202680,80628,MATH,112.00,Calculus II,.50,4,,MWF,1110-1200,,-,,25,,"Snipes,M,,"
202680,80629,MATH,128.00,Hist of Math in Islamic World,.50,4,,MWF,0910-1000,,-,,16,,"Aydin,N,,"
202680,80630,MATH,212.00,Sequences and Series,.25,2,,MWF,0810-0900,,-,,25,,"Aydin,N,,"
202680,80631,MATH,213.01,Multivariable Calculus,.50,4,,MWF,1310-1400,,-,,25,,Dr. Staff
202680,80632,MATH,213.02,Multivariable Calculus,.50,4,,MWF,1410-1500,,-,,25,,Dr. Staff
202680,80633,MATH,222.00,Foundations,.50,4,,MWF,1110-1200,,-,,16,,"Aydin,N,,"
202680,80634,MATH,224.00,Linear Algebra,.50,4,,MWF,1310-1400,,-,,25,,"Edwards,D,,"
202680,80635,MATH,230.00,Euclidean & Non-Euclidean Geom,.50,4,,MWF,0910-1000,,-,,16,,"Schumacher,C,,"
202680,80636,MATH,327.00,Number Theory Seminar,.50,4,,TR,0940-1100,,-,,16,,"Holdener,J,,"
202680,80637,MATH,333.00,Ordinary Differential Equation,.50,4,,MWF,1410-1500,,-,,25,,"Edwards,D,,"
202680,80638,MATH,336.00,Probability,.50,4,,MWF,1110-1200,,-,,20,,"Hartlaub,B,,"
202680,80639,MATH,341.00,Real Analysis I,.50,4,,MWF,1010-1100,,-,,16,,"Schumacher,C,,"
202680,80640,MATH,347.00,Mathematical Models,.50,4,,MWF,1010-1100,,-,,16,,"Gee,M,,"
202680,80641,MATH,480.01,Sr Seminar in Mathematics,.25,2,,MWF,1510-1600,,-,,36,,"Holdener,J,,"
202680,80642,MATH,480.02,Sr Seminar in Mathematics,.25,2,,MWF,1510-1600,,-,PI,12,,"Gee,M,,"
202680,80643,MATH,480.03,Sr Seminar in Mathematics,.25,2,,MWF,1510-1600,,-,PI,12,,"Leatherman,E,,"
202680,80021,MLL,100.00,2nd Lang Acquisition & Teach,.25,2,,T,0940-1100,,-,,18,,"Malone,M,,"
202680,80618,MUSC,101.00,Basic Musicianship,.50,4,,MWF,1010-1100,,-,,27,,"Locke,B,,"
202680,80617,MUSC,102.00,Musical Style,.50,4,,TR,0940-1100,,-,,23,,"Heuchemer,D,,"
202680,80619,MUSC,121Y.00,Music Theory,.50,4,,W,0810-0900,MWF,0910-1000,,27,,"Buehrer,T,,"
202680,80620,MUSC,124.00,Intro to Computer Music,.50,4,,MWF,1110-1200,,-,,25,,"Feller,R,,"
202680,80621,MUSC,204.00,Musc Hist: 19th Century,.50,4,,TR,1440-1600,,-,,12,,"Sanders,R,,"
202680,80377,MUSC,206D.00,Seminar in Ethnomusicology,.50,4,,TR,1310-1430,,-,,8,,"Mendonca,M,,"
202680,80622,MUSC,207.00,Music & African American Exp,.50,4,,W,1900-2200,,-,,12,,"Sanders,R,,"
202680,80623,MUSC,224.00,Songwriting,.50,4,,MWF,1310-1400,,-,,20,,"Feller,R,,"
202680,80655,MUSC,302D.00,History of Jazz,.50,4,,M,1900-2200,,-,,8,,"Heuchemer,D,,"
202680,80292,MUSC,471.00,Kenyon Community Choir,.25,2,,W,1930-2145,,-,PI,50,,"Locke,B,,"
202680,80295,MUSC,472.00,Knox County Symphony,.25,2,,M,1930-2130,,-,PI,30,,"Locke,B,,"
202680,80294,MUSC,473.00,Kenyon College Chamber Singers,.25,2,,TR,1200-1300,MWF,1210-1300,PI,55,,"Locke,B,,"
202680,80219,MUSC,475.00,Flute Choir,.25,2,,,-,,-,PI,10,,"Packard,J,,"
202680,80098,MUSC,477.00,String Chamber Ensemble,.13,2,,,-,,-,PI,10,,"Biava,L,,"
202680,80123,MUSC,478.00,Guitar Ensemble,.13,2,,,-,,-,PI,10,,"Downs,K,,"
202680,80163,MUSC,479.01,Symphonic Wind Ensemble,.13,2,,T,1200-1300,R,1900-2100,PI,45,,"Heuchemer,D,,"
202680,80293,MUSC,480.00,Instrumental Jazz Ensemble,.13,2,,R,1210-1300,T,1900-2100,PI,30,,"Buehrer,T,,"
202680,80184,MUSC,482.01,Percussion Ensemble,.13,2,,,-,,-,PI,10,,"Lindroth,J,,"
202680,80205,MUSC,483.00,Opera & Music Theater Wrkshp,.13,2,,MR,1615-1745,,-,PI,25,,"Marcellana,J,,"
202680,80214,MUSC,485.00,Asian Music Ensemble,.25,2,,R,1210-1300,T,1900-2100,PI,12,,"Mendonca,M,,"
202680,80283,MUSC,486.00,Harp Ensemble,.13,2,,,-,,-,PI,10,,"Thompson,J,,"
202680,80136,MUSC,487.00,Saxophone Ensemble,.13,2,,,-,,-,PI,10,,"Dunne,L,,"
202680,80093,MUSC,488.00,Brass Ensemble,.13,2,,,-,,-,PI,10,,"Bell,S,,"
202680,80250,MUSC,489.00,Bluegrass Ensemble,.13,2,,,-,,-,PI,12,,"Powers,C,,"
202680,80063,MUSC,497Y.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Mendonca,M,,"
202680,80146,NEUR,212.00,Neuroscience,.50,4,,MWF,0910-1000,,-,,20,,"Rudolph,L,,"
202680,80148,NEUR,250.00,Research Design & Analysis,.50,4,,WF,1410-1530,,-,,16,,"White,A,,"
202680,80151,NEUR,307.00,Sensory Processes,.50,4,,TR,0940-1100,,-,,20,,"Rudolph,L,,"
202680,80153,NEUR,385.00,Research in Neuroscience,.25,2,,MWF,1210-1300,,-,PI,12,,"Rudolph,L,,"
202680,80155,NEUR,471.01,Current Topics in Neuroscience,.50,4,,M,1310-1600,,-,,8,,"McFarlane,H,,"
202680,80157,NEUR,471.02,Current Topics in Neuroscience,.50,4,,TR,0810-0930,,-,,8,,"Petersen,S,,"
202680,80064,NEUR,497Y.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Petersen,S,,"
202680,80001,PHIL,100.00,Introduction to Philosophy,.50,4,,TR,0940-1100,,-,,25,,"Bradner,A,,"
202680,80006,PHIL,200.00,Ancient Philosophy,.50,4,,MWF,0910-1000,,-,,25,,"Lottenbach,H,,"
202680,80004,PHIL,201.00,Symbolic Logic,.50,4,,MWF,1010-1100,,-,,25,,"Richeimer,J,,"
202680,80595,PHIL,205.00,Faith & Reason Medieval Phil,.50,4,,MWF,1110-1200,,-,,25,,"Waller,R,,"
202680,80594,PHIL,209.00,Feminist Philosophy,.50,4,,WF,1410-1530,,-,,25,,"Waller,R,,"
202680,80007,PHIL,214.00,German Idealism,.50,4,,MWF,1210-1300,,-,,25,,"Lottenbach,H,,"
202680,80010,PHIL,225.00,Existentialism,.50,4,,TR,1440-1600,,-,,20,,"DePascuale,J,,"
202680,80005,PHIL,340.00,Sartre & Merleau-Ponty,.50,4,,MWF,1310-1400,,-,,20,,"Richeimer,J,,"
202680,80003,PHIL,405.00,Epistemology Seminar,.50,4,,T,1900-2200,,-,,10,,"Richeimer,J,,"
202680,80008,PHIL,450.00,Senior Philosophy Workshop,.50,4,,R,1900-2200,,-,,20,,"Bradner,A,,"
202680,80011,PHIL,497.00,Senior Honors,.25,2,,,-,,-,GP,5,,"DePascuale,J,,"
202680,80345,PHYS,103.00,Creating with Gadgets,.25,2,,R,1310-1600,,-,,16,,"Giblin,T,,"
202680,80346,PHYS,107.00,Astronomy: Stars & Galaxies,.50,4,,MWF,1410-1500,,-,,48,,"Turner,P,Schumacher,B"
202680,80411,PHYS,130.00,General Physics I,.50,4,,MWF,1110-1200,,-,,48,,"Peiris,F,,"
202680,80412,PHYS,131.01,Intro to Exp. Physics I,.25,2,,M,1310-1600,,-,,12,,"Giblin,T,,"
202680,80413,PHYS,131.02,Intro to Exp. Physics I,.25,2,,T,1310-1600,,-,,12,,"Schumacher,B,,"
202680,80414,PHYS,131.03,Intro to Exp. Physics I,.25,2,,W,1310-1600,,-,,12,,"Reinhard,A,,"
202680,80415,PHYS,140.00,Classical Physics,.50,4,,MWF,1010-1100,,-,PI,48,,"Reinhard,A,,"
202680,80416,PHYS,141.01,First-Year Seminar in Physics,.25,2,,W,1900-2200,,-,PI,14,,"Peiris,F,,"
202680,80417,PHYS,141.02,First-Year Seminar in Physics,.25,2,,R,1310-1600,,-,PI,14,,"Peiris,F,,"
202680,80418,PHYS,240.00,Fields and Spacetime,.50,4,,MWF,1010-1100,,-,,24,,"Wade,L,,"
202680,80419,PHYS,241.01,Fields & Spacetime Lab,.25,2,,W,1900-2200,,-,,10,,"Sullivan,T,,"
202680,80420,PHYS,241.02,Fields & Spacetime Lab,.25,2,,R,1310-1600,,-,,10,,"Loveland,G,,"
202680,80421,PHYS,310.00,Research in Physics,.25,2,,,-,,-,PI,20,,"Turner,P,,"
202680,80422,PHYS,311.00,Research in Physics,.50,4,,,-,,-,PI,10,,"Turner,P,,"
202680,80423,PHYS,340.00,Classical Mechanics,.50,4,,MWF,0910-1000,,-,,16,,"Wade,L,,"
202680,80424,PHYS,360.01,Quantum Mechanics,.50,4,,MWF,1110-1200,,-,,10,,"Wade,M,,"
202680,80425,PHYS,360.02,Quantum Mechanics,.50,4,,MWF,1310-1400,,-,,10,,"Wade,M,,"
202680,80426,PHYS,380.00,Electronics I,.25,2,,R,1310-1600,,-,,19,,"Turner,P,Sullivan,T"
202680,80427,PHYS,381.00,Electronics II,.25,2,,T,1310-1600,,-,,19,,"Turner,P,Sullivan,T"
202680,80065,PHYS,497Y.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Reinhard,A,,"
202680,80392,PSCI,101Y.01,The Quest for Justice,.50,4,,MWF,1410-1500,,-,,20,,"Leibowitz,L,,"
202680,80393,PSCI,101Y.02,The Quest for Justice,.50,4,,MWF,1510-1600,,-,,20,,"Leibowitz,D,,"
202680,80394,PSCI,101Y.03,The Quest for Justice,.50,4,,TR,0940-1100,,-,,20,,"Baumann,F,,"
202680,80395,PSCI,101Y.04,The Quest for Justice,.50,4,,TR,1440-1600,,-,,20,,"Baumann,F,,"
202680,80396,PSCI,101Y.05,The Quest for Justice,.50,4,,TR,1310-1430,,-,,20,,"Spiekerman,T,,"
202680,80397,PSCI,200.00,Liberal Democracy in America,.50,4,,MWF,1010-1100,,-,,30,,"McGee,Z,,"
202680,80398,PSCI,220.01,Classical Quest for Justice,.50,4,,MWF,1210-1300,,-,,30,,"Leibowitz,D,,"
202680,80399,PSCI,220.02,Classical Quest for Justice,.50,4,,MWF,1310-1400,,-,,30,,"Leibowitz,D,,"
202680,80402,PSCI,240.00,Modern Democracy,.50,4,,WF,0840-1000,,-,,25,,"Camerra-Rowe,P,,"
202680,80400,PSCI,260.01,International Relations,.50,4,,TR,0940-1100,,-,,25,,"Rowe,D,,"
202680,80401,PSCI,260.02,International Relations,.50,4,,TR,1310-1430,,-,,25,,"McAllister,J,,"
202680,80403,PSCI,303.00,Campaigns and Elections,.50,4,,WF,1410-1530,,-,,20,,"McGee,Z,,"
202680,80404,PSCI,310.00,Public Policy,.50,4,,MWF,1110-1200,,-,,25,,"McGee,Z,,"
202680,80576,PSCI,345.00,European Union Politics,.50,4,,WF,1410-1530,,-,,20,,"Camerra-Rowe,P,,"
202680,80408,PSCI,432.00,The Idea of Community,.50,4,,W,1900-2200,,-,,15,,"Spiekerman,T,,"
202680,80405,PSCI,441.00,Latin Am Politics Film & Fic,.50,4,,T,1900-2200,,-,,15,,"Powers,N,,"
202680,80409,PSCI,470.00,"Power, States and Markets",.50,4,,T,1900-2200,,-,,15,,"Rowe,D,,"
202680,80410,PSCI,476.00,Rules for the World,.50,4,,TR,0940-1100,,-,,15,,"McAllister,J,,"
202680,80406,PSCI,495.00,Issues in Policy & Politics,.50,4,,TR,1310-1430,,-,,15,,"Powers,N,,"
202680,80066,PSCI,497Y.00,Senior Honors,.50,4,,,-,,-,GP,5,,Dr. Staff
202680,80347,PSYC,100.01,Introduction to Psychology,.50,4,,MWF,1210-1300,,-,,35,,"Stevenson,M,,"
202680,80348,PSYC,100.02,Introduction to Psychology,.50,4,,TR,1310-1430,,-,,35,,"Engell,A,,"
202680,80349,PSYC,100.03,Introduction to Psychology,.50,4,,TR,1440-1600,,-,,35,,"Engell,A,,"
202680,80350,PSYC,200.01,Stat Analysis in Psychology,.50,4,,TR,0940-1100,,-,,15,,"Murnen,S,,"
202680,80351,PSYC,200.02,Stat Analysis in Psychology,.50,4,,TR,1310-1430,,-,,15,,"Krieg,D,,"
202680,80577,PSYC,206.00,Psychology of Language,.50,4,,MWF,1310-1400,,-,,20,,"Payne,T,,"
202680,80353,PSYC,208.00,Drugs and Behavior,.50,4,,TR,1310-1430,,-,,20,,"Millin-Lipnos,P,,"
202680,80354,PSYC,210.00,"Social Mind, Social Brain",.50,4,,TR,0810-0930,,-,,20,,"Engell,A,,"
202680,80355,PSYC,221.00,Adult Psychopath & Soc Suffrng,.50,4,,TR,0810-0930,,-,,20,,"López,I,,"
202680,80356,PSYC,223.00,Child Development,.50,4,,MWF,0910-1000,,-,,20,,"Jones,C,,"
202680,80357,PSYC,224.00,Educational Psychology,.50,4,,TR,0940-1100,,-,,20,,"Krieg,D,,"
202680,80359,PSYC,225.00,Social Psychology,.50,4,,WF,1410-1530,,-,,20,,"Stevenson,M,,"
202680,80578,PSYC,231.00,Positive Psychology,.50,4,,MWF,1110-1200,,-,,20,,"Dickens,L,,"
202680,80361,PSYC,250.01,Research Methods in Psychology,.50,4,,MWF,1010-1100,,-,,15,,"Stevenson,M,,"
202680,80362,PSYC,250.02,Research Methods in Psychology,.50,4,,MWF,1210-1300,,-,,15,,"Ewell,P,,"
202680,80363,PSYC,333.00,Media Psychology,.50,4,,MWF,1410-1500,,-,,15,,"Ewell,P,,"
202680,80364,PSYC,350.00,Psychology in Context,.50,4,,M,1310-1600,,-,PI,8,,"Krieg,D,,"
202680,80365,PSYC,360.00,Multicultural Identities,.50,4,,WF,1410-1530,,-,,15,,"Jones,C,,"
202680,80366,PSYC,450.00,Adv Research Psychology Lab,.25,4,,,-,,-,PI,0,,"Payne,T,,"
202680,80367,PSYC,475.01,Psychology Senior Seminar,.50,4,,M,1310-1600,,-,PI,10,,"López,I,,"
202680,80368,PSYC,475.02,Psychology Senior Seminar,.50,4,,M,1310-1600,,-,PI,10,,"Dickens,L,,"
202680,80369,PSYC,475.03,Psychology Senior Seminar,.50,4,,TR,1440-1600,,-,PI,10,,"Murnen,S,,"
202680,80370,PSYC,475.04,Psychology Senior Seminar,.50,4,,TR,1440-1600,,-,PI,10,,"Millin-Lipnos,P,,"
202680,80067,PSYC,497Y.00,Senior Honors,.50,4,,,-,,-,GP,7,,"Payne,T,,"
202680,80304,RLST,102.00,1st Yr Sem: Encounter Religion,.50,4,,W,1900-2200,,-,,12,,"Schubel,V,,"
202680,80298,RLST,103.00,"Religion, Gender, & Sexuality",.50,4,,WF,1410-1530,,-,,20,,"Dalton,K,,"
202680,80302,RLST,120.00,Faith of Christians,.50,4,,TR,1310-1430,,-,,20,,"Maldonado Rivera,D,,"
202680,80303,RLST,140.00,Intro to Islamic Tradition,.50,4,,TR,1440-1600,,-,,20,,"Schubel,V,,"
202680,80296,RLST,160.00,Buddhist Thought and Practice,.50,4,,TR,0940-1100,,-,,20,,"Brennan,J,,"
202680,80299,RLST,165.00,Jew-ish in a Modern World,.50,4,,MWF,1010-1100,,-,,20,,"Dalton,K,,"
202680,80300,RLST,345.00,Religion for Robots,.50,4,,M,1310-1600,,-,,12,,"Dalton,K,,"
202680,80573,RLST,391.00,"ST: Atten,Meditation,Mysticism",.50,4,,TR,1440-1600,,-,,15,,"Brennan,J,,"
202680,80301,RLST,490.00,Senior Seminar,.50,4,,TR,0810-0930,,-,,10,,"Maldonado Rivera,D,,"
202680,80500,RUSS,111Y.00,Intensive Intro Russian,.75,6,,MTWRF,1210-1300,,-,,15,,"McGavran,J,,"
202680,80502,RUSS,213Y.00,Intermediate Russian,.50,4,,MWF,1410-1500,,-,,8,,"Aydinyan,A,,"
202680,80504,RUSS,325.00,Russian Poetry & Poetics,.50,4,,TR,1440-1600,,-,,8,,"McGavran,J,,"
202680,80382,SOCY,102.00,Social Dreamers,.50,4,,MWF,1010-1100,,-,,12,,"McCarthy,G,,"
202680,80383,SOCY,103.00,Society and Culture,.50,4,,MWF,1110-1200,,-,,20,,"Cottingham,M,,"
202680,80384,SOCY,106.00,Soc Issues/Cultrl Intersection,.50,4,,MWF,1410-1500,,-,,20,,"Kohlman,M,,"
202680,80385,SOCY,108.00,Public Life,.50,4,,TR,1310-1430,,-,,20,,"Villegas,C,,"
202680,80386,SOCY,232.00,Sexual Harassment,.50,4,,MWF,1110-1200,,-,,20,,"Kohlman,M,,"
202680,80387,SOCY,234.00,Sociology of Rural America,.50,4,,MWF,1010-1100,,-,,20,,"Theis,N,,"
202680,80388,SOCY,238.00,Environmental Sociology,.50,4,,TR,0940-1100,,-,,20,,"Theis,N,,"
202680,80389,SOCY,271.00,Methods of Social Research,.50,4,,TR,1310-1430,,-,,20,,"Theis,N,,"
202680,80390,SOCY,361.00,Classical Social Theory,.50,4,,M,1900-2200,,-,,10,,"McCarthy,G,,"
202680,80391,SOCY,490.00,Senior Seminar in Sociology,.50,4,,WF,0840-1000,,-,,20,,"Cottingham,M,,"
202680,80068,SOCY,497.00,Senior Honors,.50,4,,,-,,-,GP,5,,"Cottingham,M,,"
202680,80571,SPAN,391.01,ST: Fighting Fascism in Spain,.50,4,,,-,,-,,18,,"del Río Arrillaga,D,,"
202680,80574,SPAN,391.02,ST: Env Catastroph L Amer Lit,.50,4,,,-,,-,,18,,"Couso Diaz,S,,"
202680,80644,STAT,106.01,Elements of Statistics,.50,4,,MWF,0910-1000,,-,,25,,"Leatherman,E,,"
202680,80645,STAT,106.02,Elements of Statistics,.50,4,,MWF,1010-1100,,-,,25,,"Snipes,M,,"
202680,80646,STAT,106.03,Elements of Statistics,.50,4,,MWF,1310-1400,,-,,25,,"Jones,B,,"
202680,80648,STAT,206.00,Data Analysis,.50,4,,MWF,1210-1300,,-,,25,,"Hartlaub,B,,"
202680,80649,STAT,226.00,Stat Computing with R,.50,4,,MWF,0910-1000,,-,,25,,"Jones,B,,"
