term,crn,subject,course_number,title,unit_value,credits,instruction_mode,days,start_time,end_time,additional_days,additional_time,seats_available,instructor
202680,80445,BIOL,115.01,Energy in Living Systems,0.5,4.0,,MWF,08:10,09:00,,,30,Tsunekage T
202680,80446,BIOL,115.02,Energy in Living Systems,0.5,4.0,,MWF,09:10,10:00,,,30,Regmi K
202680,80447,BIOL,115.03,Energy in Living Systems,0.5,4.0,,MWF,10:10,11:00,,,30,Kropp P
202680,80448,BIOL,115.04,Energy in Living Systems,0.5,4.0,,MWF,11:10,12:00,,,30,Gillen C
202680,80449,BIOL,116.00,Information in Living Systems,0.5,4.0,,MWF,11:10,12:00,,,30,Hicks K
202680,80450,BIOL,211.00,Health Service & Biomed Analys,0.5,4.0,,M,13:10,16:00,,,14,Kropp P
202680,80451,BIOL,228.00,Ecology,0.5,4.0,,WF,08:40,10:00,,,24,Fahey C
202680,80452,BIOL,229.00,Ecology Laboratory,0.25,2.0,,R,13:10,16:00,,,11,Fahey C
202680,80453,BIOL,245.00,Plant Biology,0.5,4.0,,TR,09:40,11:00,,,24,Regmi K
202680,80454,BIOL,246.00,Experimental Plant Biology,0.25,2.0,,W,13:10,16:00,,,12,Regmi K
202680,80455,BIOL,247.00,Comp Vertebrate Anatomy,0.5,4.0,,MWF,11:10,12:00,,,21,Wright N Mendez L
202680,80456,BIOL,248.00,Comp Vertebrate Anatomy Lab,0.25,2.0,,T,13:10,16:00,,,21,Wright N
202680,80457,BIOL,263.00,Molecular Biology,0.5,4.0,,MWF,10:10,11:00,,,30,Hillman E
202680,80458,BIOL,264.00,Gene Manipulation,0.25,2.0,,R,13:10,16:00,,,11,Hillman E
202680,80459,BIOL,315.00,Cell Signaling,0.5,4.0,,TR,08:10,09:30,,,12,Gillen K
202680,80460,BIOL,321.00,Evol. Developmental Biology,0.5,4.0,,WF,14:10,15:30,,,12,Hicks K
202680,80461,BIOL,385.00,Research in Biology,0.25,2.0,,,,,,,40,Clements R
202680,80462,BIOL,475.01,Senior Seminar,0.5,4.0,,TR,08:10,09:30,,,10,Gillen C
202680,80463,BIOL,475.02,Senior Seminar,0.5,4.0,,TR,09:40,11:00,,,10,Clements R
202680,80464,BIOL,475.03,Senior Seminar,0.5,4.0,,WF,14:10,15:30,,,10,Gillen K
202680,80056,BIOL,497.00,Senior Honors,0.5,4.0,,M,13:10,16:00,,,10,Wright N
202680,80596,CHEM,112.00,Chemistry & Climate Change,0.5,4.0,,MWF,09:10,10:00,,,16,Rouhier K
202680,80597,CHEM,121.01,Introductory Chemistry,0.5,4.0,,MWF,09:10,10:00,,,45,Hunter N
202680,80598,CHEM,121.02,Introductory Chemistry,0.5,4.0,,MWF,11:10,12:00,,,45,Rouhier K
202680,80599,CHEM,122.00,Chemical Principles,0.5,4.0,,MWF,09:10,10:00,,,20,Garcia S
202680,80600,CHEM,123.01,Introductory Chemistry Lab I,0.25,2.0,,M,13:10,16:00,,,14,Garcia S
202680,80601,CHEM,123.02,Introductory Chemistry Lab I,0.25,2.0,,T,13:10,16:00,,,14,Hunter N
202680,80602,CHEM,123.03,Introductory Chemistry Lab I,0.25,2.0,,W,13:10,16:00,,,14,Dr. Staff
202680,80603,CHEM,123.04,Introductory Chemistry Lab I,0.25,2.0,,R,13:10,16:00,,,14,Dr. Staff
202680,80604,CHEM,123.05,Introductory Chemistry Lab I,0.25,2.0,,T,08:10,11:00,,,14,Dr. Staff
202680,80605,CHEM,123.06,Introductory Chemistry Lab I,0.25,2.0,,R,08:10,11:00,,,14,Dr. Staff
202680,80606,CHEM,232.00,Organic Chemistry II,0.5,4.0,,TR,09:40,11:00,,,45,Starr K
202680,80607,CHEM,234.01,Organic Chemistry Lab II,0.25,2.0,,T,13:10,16:00,,,13,Hunsen M
202680,80608,CHEM,234.02,Organic Chemistry Lab II,0.25,2.0,,W,13:10,16:00,,,13,Dr. Staff
202680,80609,CHEM,234.03,Organic Chemistry Lab II,0.25,2.0,,R,13:10,16:00,,,13,Dr. Staff
202680,80610,CHEM,243.00,Inorganic Chemistry,0.5,4.0,,TR,08:10,09:30,,,16,Hunter N
202680,80611,CHEM,335.00,Chem Kinetics & Thermodynamics,0.5,4.0,,TR,08:10,09:30,,,24,Keller J
202680,80612,CHEM,370.00,Adv. Lab:Computational Chem,0.25,2.0,,T,13:10,16:00,,,8,Garcia S
202680,80613,CHEM,374.00,Advanced Lab--Spectroscopy,0.25,2.0,,R,13:10,16:00,,,8,Keller J
202680,80614,CHEM,375.01,Chemical Research,0.25,4.0,,,,,,,25,Rouhier K
202680,80615,CHEM,375.02,Chemical Research,0.25,4.0,,,,,,,25,Rouhier K
202680,80616,CHEM,475.00,Senior Seminar,0.25,2.0,,M,13:10,16:00,,,16,Rouhier K
202680,80057,CHEM,497.00,Senior Honors,0.5,4.0,,,,,,,5,Hunsen M
202680,80588,CLAS,112.00,Roman History,0.5,4.0,,MR,19:00,20:20,,,33,Izzo J
202680,80589,CLAS,130.00,Classical Mythology,0.5,4.0,,MWF,15:10,16:00,,,33,Hahnemann C
202680,80590,CLAS,225.00,Ends of the Earth,0.5,4.0,,MWF,10:10,11:00,,,33,Myers M
202680,80591,CLAS,471.00,Senior Seminar in Classics,0.5,4.0,,TR,09:40,11:00,,,15,Serfass A
202680,80058,CLAS,497Y.00,Senior Honors,0.5,4.0,,,,,,,5,Myers M
202680,80432,COMP,118.01,Introduction to Programming,0.5,4.0,,WF,08:40,10:00,,,25,Dr. Staff
202680,80434,COMP,118.02,Introduction to Programming,0.5,4.0,,WF,14:10,15:30,,,25,Skon J
202680,80437,COMP,191.01,ST: PENDING CPC APPROVAL,0.25,4.0,,M,13:10,16:00,,,12,Dr. Staff
202680,80439,COMP,191.02,ST: PENDING CPC APPROVAL,0.25,4.0,,MWF,10:10,11:00,,,25,Skon J
202680,80435,COMP,218.00,Data Structures & Prog Design,0.5,4.0,,MWF,13:10,14:00,,,25,Skon J
202680,80523,DANC,104.00,Yoga,0.25,2.0,,MWF,11:10,12:00,,,25,Radella Feller K
202680,80524,DANC,105.00,Introduction to Dance Studies,0.5,4.0,,TR,09:40,11:00,,,18,Craig-Quijada B
202680,80526,DANC,109.00,Beginning Ballet Technique,0.25,2.0,,MW,14:10,15:30,,,20,Craig-Quijada B
202680,80527,DANC,208.00,Mod/Postmod Dance Pract:Interm,0.25,2.0,,TR,14:40,16:00,,,15,Radella Feller K
202680,80528,DANC,220.00,Dance Labanotation,0.5,4.0,,MWF,09:10,10:00,,,10,Brodie J
202680,80529,DANC,227.00,Choreography I,0.5,4.0,,TR,13:10,14:30,,,8,Craig-Quijada B
202680,80531,DRAM,110.00,The Play:Production&Performanc,0.0,,,,,,,,0,Tazewell J
202680,80532,DRAM,111.01,Introduction to the Theater,0.5,4.0,,TR,13:10,14:30,,,14,Wolf R
202680,80533,DRAM,111.02,Introduction to the Theater,0.5,4.0,,TR,14:40,16:00,,,12,Dudley A
202680,80534,DRAM,220.00,Acting,0.5,4.0,,TR,09:40,11:00,,,12,Viccellio B
202680,80530,DRAM,235.00,Writing Lyrics Music Theatre,0.5,4.0,,W,13:10,16:00,,,8,Dr. Staff
202680,80535,DRAM,241.00,Scene Design,0.5,4.0,,MWF,11:10,12:00,,,10,Wolf R
202680,80536,DRAM,244.00,Interpreting the Character,0.5,4.0,,WF,14:10,15:30,,,10,Cappuccilli C
202680,80537,DRAM,362A.00,Rehearsal Collab Directors,0.5,4.0,,W,13:10,16:00,,,3,Dudley A
202680,80538,DRAM,362B.00,Rehearsal Collab Actors,0.5,4.0,,W,13:10,16:00,,,6,Dudley A
202680,80465,ECON,101.01,Princ of Microeconomics,0.5,4.0,,TR,08:10,09:30,,,28,Treber J
202680,80466,ECON,101.02,Princ of Microeconomics,0.5,4.0,,TR,09:40,11:00,,,28,Treber J
202680,80467,ECON,101.03,Princ of Microeconomics,0.5,4.0,,MWF,09:10,10:00,,,28,Corrigan J
